datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos hetg letg pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2008:041:16:14:19.412 2008:041:16:14:29.663 8909  XTZ0000005 TE_007BA NMAN      1         1        3         3         75624  -468      RETR RETR 54.35  302.54 36.16  24.99  0.03  -0.36 -0.39 0.85 pcad_mode                                       
2008:041:16:14:29.663 2008:041:16:17:19.412 8909  XTZ0000005 TE_007BA NMAN      1         1        3         3         75624  -468      RETR RETR 56.83  302.54 36.16  24.99  0.03  -0.36 -0.39 0.85 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:041:16:17:19.412 2008:041:16:17:23.412 9327  AA00000000 TE_007BA NMAN      1         0        3         3         75624  -468      RETR RETR 56.83  302.54 36.16  24.99  0.03  -0.36 -0.39 0.85 clocking,obsid,power_cmd                        
2008:041:16:17:23.412 2008:041:16:17:27.412 9327  AA00000000 TE_007BA NMAN      1         0        3         3         75624  -468      RETR RETR 56.83  302.54 36.16  24.99  0.03  -0.36 -0.39 0.85 clocking,power_cmd                              
2008:041:16:17:27.412 2008:041:16:17:51.412 9327  WSPOW00000 TE_007BA NMAN      1         0        0         0         75624  -468      RETR RETR 56.83  302.54 36.16  24.99  0.03  -0.36 -0.39 0.85 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:041:16:17:51.412 2008:041:16:18:54.412 9327  WSPOW1EC3F TE_007BA NMAN      1         0        6         6         75624  -468      RETR RETR 56.83  302.54 36.16  24.99  0.03  -0.36 -0.39 0.85 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:041:16:18:54.412 2008:041:16:18:58.412 9327  WSPOW1EC3F TE_007E2 NMAN      1         0        6         6         75624  -468      RETR RETR 56.83  302.54 36.16  24.99  0.03  -0.36 -0.39 0.85 si_mode                                         
2008:041:16:18:58.412 2008:041:16:19:40.699 9327  XTZ0000005 TE_007E2 NMAN      1         1        6         6         75624  -468      RETR RETR 56.83  302.54 36.16  24.99  0.03  -0.36 -0.39 0.85 clocking,power_cmd                              
2008:041:16:19:40.699 2008:041:16:24:51.736 9327  XTZ0000005 TE_007E2 NMAN      1         1        6         6         75624  -468      RETR RETR 67.75  300.31 40.79  26.47  0.02  -0.40 -0.38 0.83 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:041:16:24:51.736 2008:041:16:30:02.772 9327  XTZ0000005 TE_007E2 NMAN      1         1        6         6         75624  -468      RETR RETR 87.83  289.21 56.14  35.18  -0.04 -0.52 -0.37 0.77 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:041:16:30:02.772 2008:041:16:35:13.808 9327  XTZ0000005 TE_007E2 NMAN      1         1        6         6         75624  -468      RETR RETR 111.08 248.02 72.35  73.35  -0.12 -0.66 -0.34 0.65 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:041:16:35:13.808 2008:041:16:40:24.845 9327  XTZ0000005 TE_007E2 NMAN      1         1        6         6         75624  -468      RETR RETR 131.17 178.89 66.80  139.53 -0.20 -0.78 -0.29 0.51 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:041:16:40:24.845 2008:041:16:45:35.881 9327  XTZ0000005 TE_007E2 NMAN      1         1        6         6         75624  -468      RETR RETR 142.09 158.72 52.97  157.46 -0.25 -0.85 -0.25 0.40 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:041:16:45:35.881 2008:041:19:28:15.631 9327  XTZ0000005 TE_007E2 NPNT      1         1        6         6         75624  -468      RETR RETR 144.56 155.26 48.53  160.23 -0.26 -0.86 -0.24 0.36 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2008:041:19:28:15.631 2008:041:19:28:25.882 9327  AA00000000 TE_007E2 NMAN      1         0        6         6         75624  -468      RETR RETR 144.56 155.26 48.53  160.23 -0.26 -0.86 -0.24 0.36 clocking,pcad_mode,power_cmd                    
2008:041:19:28:25.882 2008:041:19:31:15.631 9327  AA00000000 TE_007E2 NMAN      1         0        6         6         75624  -468      RETR RETR 146.20 155.26 48.53  160.23 -0.26 -0.86 -0.24 0.36 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:041:19:31:15.631 2008:041:19:31:19.631 9322  AA00000000 TE_007E2 NMAN      1         0        6         6         75624  -468      RETR RETR 146.20 155.26 48.53  160.23 -0.26 -0.86 -0.24 0.36 clocking,obsid,power_cmd                        
2008:041:19:31:19.631 2008:041:19:31:23.631 9322  AA00000000 TE_007E2 NMAN      1         0        6         6         75624  -468      RETR RETR 146.20 155.26 48.53  160.23 -0.26 -0.86 -0.24 0.36 clocking,power_cmd                              
2008:041:19:31:23.631 2008:041:19:31:47.631 9322  WSPOW00000 TE_007E2 NMAN      1         0        0         0         75624  -468      RETR RETR 146.20 155.26 48.53  160.23 -0.26 -0.86 -0.24 0.36 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:041:19:31:47.631 2008:041:19:32:50.631 9322  WSPOW1CC3E TE_007E2 NMAN      1         0        5         5         75624  -468      RETR RETR 146.20 155.26 48.53  160.23 -0.26 -0.86 -0.24 0.36 ccd_count,clocking,fep_count,power_cmd,vid_board
2008:041:19:32:50.631 2008:041:19:32:53.703 9322  WSPOW1CC3E TE_003AC NMAN      1         0        5         5         75624  -468      RETR RETR 146.20 155.26 48.53  160.23 -0.26 -0.86 -0.24 0.36 si_mode                                         
2008:041:19:32:53.703 2008:041:19:32:54.631 9322  WSPOW1CC3E TE_003AC NMAN      1         0        5         5         75624  -468      RETR RETR 149.50 153.00 45.56  162.85 -0.27 -0.87 -0.22 0.34 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:041:19:32:54.631 2008:041:19:37:21.525 9322  XTZ0000005 TE_003AC NMAN      1         1        5         5         75624  -468      RETR RETR 149.50 153.00 45.56  162.85 -0.27 -0.87 -0.22 0.34 clocking,power_cmd                              
2008:041:19:37:21.525 2008:041:22:03:31.631 9322  XTZ0000005 TE_003AC NPNT      1         1        5         5         75624  -468      RETR RETR 151.15 151.03 42.53  165.18 -0.28 -0.88 -0.21 0.32 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2008:041:22:03:31.631 2008:041:22:03:41.882 9322  AA00000000 TE_003AC NMAN      1         0        5         5         75624  -468      RETR RETR 151.15 151.03 42.53  165.18 -0.28 -0.88 -0.21 0.32 clocking,pcad_mode,power_cmd                    
2008:041:22:03:41.882 2008:041:22:06:31.631 9322  AA00000000 TE_003AC NMAN      1         0        5         5         75624  -468      RETR RETR 151.05 151.03 42.53  165.18 -0.28 -0.88 -0.21 0.32 dec,pitch,q1,q2,q3,q4,ra,roll                   
2008:041:22:06:31.631 2008:041:22:06:35.631 9156  AA00000000 TE_003AC NMAN      1         0        5         5         75624  -468      RETR RETR 151.05 151.03 42.53  165.18 -0.28 -0.88 -0.21 0.32 clocking,obsid,power_cmd                        
2008:041:22:06:35.631 2008:041:22:06:39.631 9156  AA00000000 TE_003AC NMAN      1         0        5         5         75624  -468      RETR RETR 151.05 151.03 42.53  165.18 -0.28 -0.88 -0.21 0.32 clocking,power_cmd                              
2008:041:22:06:39.631 2008:041:22:07:03.631 9156  WSPOW00000 TE_003AC NMAN      1         0        0         0         75624  -468      RETR RETR 151.05 151.03 42.53  165.18 -0.28 -0.88 -0.21 0.32 ccd_count,clocking,fep_count,power_cmd,vid_board
