ccd_count clocking datestart             datestop              dec    dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
6         1        2009:150:21:16:57.273 2009:150:21:17:07.524 58.00  None   6         RETR RETR 57079 NMAN      61.12  XTZ0000005 0.12  -0.68 0.48  0.54 138.00 274.44 TE_008EA -468      -99616 pcad_mode                                        1        
6         1        2009:150:21:17:07.524 2009:150:21:21:59.416 58.00  None   6         RETR RETR 57079 NMAN      61.09  XTZ0000005 0.12  -0.68 0.48  0.54 138.00 274.44 TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:150:21:21:59.416 2009:150:21:26:51.308 61.79  None   6         RETR RETR 57079 NMAN      61.20  XTZ0000005 0.15  -0.67 0.48  0.55 137.28 277.07 TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:150:21:26:51.308 2009:150:21:31:43.201 74.58  None   6         RETR RETR 57079 NMAN      61.47  XTZ0000005 0.26  -0.62 0.45  0.59 128.53 292.21 TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:150:21:31:43.201 2009:150:21:36:35.093 81.22  None   6         RETR RETR 57079 NMAN      61.88  XTZ0000005 0.41  -0.52 0.40  0.63 26.59  43.20  TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:150:21:36:35.093 2009:150:21:41:26.985 63.49  None   6         RETR RETR 57079 NMAN      62.35  XTZ0000005 0.55  -0.41 0.33  0.65 356.83 82.24  TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:150:21:41:26.985 2009:150:21:46:18.877 44.16  None   6         RETR RETR 57079 NMAN      62.81  XTZ0000005 0.67  -0.28 0.25  0.64 355.47 93.64  TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:150:21:46:18.877 2009:150:21:51:10.769 24.97  None   6         RETR RETR 57079 NMAN      63.18  XTZ0000005 0.76  -0.15 0.16  0.62 358.56 102.15 TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:150:21:51:10.769 2009:150:21:53:26.335 6.50   None   6         RETR RETR 57079 NMAN      63.41  XTZ0000005 0.82  -0.00 0.07  0.56 4.10   110.85 TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2009:150:21:53:26.335 2009:150:21:56:02.661 6.50   None   6         RETR RETR 57079 NMAN      63.41  AA00000000 0.82  -0.00 0.07  0.56 4.10   110.85 TE_008EA -468      92904  clocking,power_cmd,simpos                        1        
6         0        2009:150:21:56:02.661 2009:150:21:56:26.335 -5.53  None   6         RETR RETR 57079 NMAN      63.49  AA00000000 0.85  0.10  0.00  0.52 9.44   117.76 TE_008EA -468      92904  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2009:150:21:56:26.335 2009:150:21:56:30.335 -5.53  None   6         RETR RETR 10266 NMAN      63.49  AA00000000 0.85  0.10  0.00  0.52 9.44   117.76 TE_008EA -468      92904  clocking,obsid,power_cmd                         1        
6         0        2009:150:21:56:30.335 2009:150:21:56:34.335 -5.53  None   6         RETR RETR 10266 NMAN      63.49  AA00000000 0.85  0.10  0.00  0.52 9.44   117.76 TE_008EA -468      92904  clocking,power_cmd                               1        
0         0        2009:150:21:56:34.335 2009:150:21:56:58.335 -5.53  None   0         RETR RETR 10266 NMAN      63.49  WSPOW00000 0.85  0.10  0.00  0.52 9.44   117.76 TE_008EA -468      92904  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:150:21:56:58.335 2009:150:21:58:01.335 -5.53  None   6         RETR RETR 10266 NMAN      63.49  WSPOW0CF3F 0.85  0.10  0.00  0.52 9.44   117.76 TE_008EA -468      92904  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:150:21:58:01.335 2009:150:21:58:05.335 -5.53  None   6         RETR RETR 10266 NMAN      63.49  WSPOW0CF3F 0.85  0.10  0.00  0.52 9.44   117.76 TE_004DE -468      92904  si_mode                                          1        
6         1        2009:150:21:58:05.335 2009:150:21:59:26.545 -5.53  None   6         RETR RETR 10266 NMAN      63.49  XTZ0000005 0.85  0.10  0.00  0.52 9.44   117.76 TE_004DE -468      92904  clocking,power_cmd                               1        
6         1        2009:150:21:59:26.545 2009:150:22:00:54.554 -5.53  None   6         RETR RETR 10266 NMAN      63.49  XTZ0000005 0.85  0.10  0.00  0.52 9.44   117.76 TE_004DE -536      92904  simfa_pos                                        1        
6         1        2009:150:22:00:54.554 2009:150:22:32:13.816 -8.88  None   6         RETR RETR 10266 NPNT      63.50  XTZ0000005 0.86  0.12  -0.02 0.50 11.28  120.00 TE_004DE -536      92904  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         1        2009:150:22:32:13.816 2009:151:01:09:37.335 -8.88  None   6         RETR RETR 10266 NPNT      63.52  XTZ0000005 0.86  0.12  -0.02 0.50 11.28  120.00 TE_004DE -536      92904  pitch                                            1        
6         0        2009:151:01:09:37.335 2009:151:01:09:47.586 -8.88  None   6         RETR RETR 10266 NMAN      63.52  AA00000000 0.86  0.12  -0.02 0.50 11.28  120.00 TE_004DE -536      75624  clocking,pcad_mode,power_cmd,simpos              1        
6         0        2009:151:01:09:47.586 2009:151:01:11:36.511 -8.88  None   6         RETR RETR 10266 NMAN      63.59  AA00000000 0.86  0.12  -0.02 0.50 11.28  120.00 TE_004DE -536      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2009:151:01:11:36.511 2009:151:01:12:37.335 -8.88  None   6         RETR RETR 10266 NMAN      63.59  AA00000000 0.86  0.12  -0.02 0.50 11.28  120.00 TE_004DE -418      75624  simfa_pos                                        1        
6         0        2009:151:01:12:37.335 2009:151:01:12:41.335 -8.88  None   6         RETR RETR 10559 NMAN      63.59  AA00000000 0.86  0.12  -0.02 0.50 11.28  120.00 TE_004DE -418      75624  clocking,obsid,power_cmd                         1        
6         0        2009:151:01:12:41.335 2009:151:01:12:45.335 -8.88  None   6         RETR RETR 10559 NMAN      63.59  AA00000000 0.86  0.12  -0.02 0.50 11.28  120.00 TE_004DE -418      75624  clocking,power_cmd                               1        
0         0        2009:151:01:12:45.335 2009:151:01:12:55.271 -8.88  None   0         RETR RETR 10559 NMAN      63.59  WSPOW00000 0.86  0.12  -0.02 0.50 11.28  120.00 TE_004DE -418      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
0         0        2009:151:01:12:55.271 2009:151:01:13:09.335 -8.88  None   0         RETR RETR 10559 NMAN      63.59  WSPOW00000 0.86  0.12  -0.02 0.50 11.28  120.00 TE_004DE -468      75624  simfa_pos                                        1        
6         0        2009:151:01:13:09.335 2009:151:01:14:12.335 -8.88  None   6         RETR RETR 10559 NMAN      63.59  WSPOW3E83F 0.86  0.12  -0.02 0.50 11.28  120.00 TE_004DE -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:151:01:14:12.335 2009:151:01:14:16.335 -8.88  None   6         RETR RETR 10559 NMAN      63.59  WSPOW3E83F 0.86  0.12  -0.02 0.50 11.28  120.00 TE_0040A -468      75624  si_mode                                          1        
6         1        2009:151:01:14:16.335 2009:151:01:14:52.238 -8.88  None   6         RETR RETR 10559 NMAN      63.59  XTZ0000005 0.86  0.12  -0.02 0.50 11.28  120.00 TE_0040A -468      75624  clocking,power_cmd                               1        
6         1        2009:151:01:14:52.238 2009:151:01:19:56.891 -5.19  None   6         RETR RETR 10559 NMAN      63.39  XTZ0000005 0.85  0.09  0.00  0.52 9.32   117.51 TE_0040A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:01:19:56.891 2009:151:01:25:01.543 8.00   None   6         RETR RETR 10559 NMAN      62.89  XTZ0000005 0.82  -0.01 0.08  0.57 3.80   109.87 TE_0040A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:01:25:01.543 2009:151:01:30:06.196 27.43  None   6         RETR RETR 10559 NMAN      62.14  XTZ0000005 0.75  -0.16 0.17  0.62 358.65 100.51 TE_0040A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:01:30:06.196 2009:151:01:35:10.848 47.43  None   6         RETR RETR 10559 NMAN      61.30  XTZ0000005 0.64  -0.30 0.27  0.65 356.57 90.82  TE_0040A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:01:35:10.848 2009:151:01:40:15.501 67.34  None   6         RETR RETR 10559 NMAN      60.51  XTZ0000005 0.52  -0.43 0.35  0.65 1.57   75.57  TE_0040A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:151:01:40:15.501 2009:151:01:45:20.153 82.02  None   6         RETR RETR 10559 NMAN      59.94  XTZ0000005 0.37  -0.54 0.42  0.63 62.92  4.66   TE_0040A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
