ccd_count clocking datestart             datestop              dec    fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
6         0        2009:174:03:56:45.802 2009:174:03:58:32.487 -39.04 6         RETR RETR 9921  NMAN      150.52 AA00000000 -0.03 0.59  -0.58 0.56 242.10 293.47 TE_004A4 -468      -99616 clocking,pcad_mode,power_cmd,simpos              1        
6         0        2009:174:03:58:32.487 2009:174:03:59:45.802 -39.04 6         RETR RETR 9921  NMAN      150.25 AA00000000 -0.03 0.59  -0.58 0.56 242.10 293.47 TE_004A4 -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2009:174:03:59:45.802 2009:174:04:02:22.236 -39.04 6         RETR RETR 57020 NMAN      150.25 AA00000000 -0.03 0.59  -0.58 0.56 242.10 293.47 TE_004A4 -468      -99616 obsid                                            1        
6         0        2009:174:04:02:22.236 2009:174:04:02:26.236 -39.04 6         RETR RETR 57020 NMAN      150.25 AA00000000 -0.03 0.59  -0.58 0.56 242.10 293.47 TE_004A4 -468      -99616 clocking,power_cmd                               1        
6         0        2009:174:04:02:26.236 2009:174:04:02:30.236 -39.04 6         RETR RETR 57020 NMAN      150.25 AA00000000 -0.03 0.59  -0.58 0.56 242.10 293.47 TE_004A4 -468      -99616 clocking,power_cmd                               1        
0         0        2009:174:04:02:30.236 2009:174:04:02:32.487 -39.04 0         RETR RETR 57020 NMAN      150.25 WSPOW00000 -0.03 0.59  -0.58 0.56 242.10 293.47 TE_004A4 -468      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
0         0        2009:174:04:02:32.487 2009:174:04:02:54.236 -39.04 0         RETR RETR 57020 NPNT      150.25 WSPOW00000 -0.03 0.59  -0.58 0.56 242.10 293.47 TE_004A4 -468      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2009:174:04:02:54.236 2009:174:04:03:57.236 -39.04 6         RETR RETR 57020 NPNT      150.25 WSPOW3F03F -0.03 0.59  -0.58 0.56 242.10 293.47 TE_004A4 -468      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:174:04:03:57.236 2009:174:04:04:01.236 -39.04 6         RETR RETR 57020 NPNT      150.25 WSPOW3F03F -0.03 0.59  -0.58 0.56 242.10 293.47 TE_0021C -468      -99616 si_mode                                          1        
6         1        2009:174:04:04:01.236 2009:174:04:06:52.236 -39.04 6         RETR RETR 57020 NPNT      150.25 XTZ0000005 -0.03 0.59  -0.58 0.56 242.10 293.47 TE_0021C -468      -99616 clocking,power_cmd                               1        
6         1        2009:174:04:06:52.236 2009:174:04:07:02.487 -39.04 6         RETR RETR 57019 NMAN      150.25 XTZ0000005 -0.03 0.59  -0.58 0.56 242.10 293.47 TE_0021C -468      -99616 obsid,pcad_mode                                  1        
6         1        2009:174:04:07:02.487 2009:174:04:12:07.952 -39.04 6         RETR RETR 57019 NMAN      150.28 XTZ0000005 -0.03 0.59  -0.58 0.56 242.10 293.47 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:04:12:07.952 2009:174:04:17:13.416 -40.96 6         RETR RETR 57019 NMAN      150.50 XTZ0000005 0.00  0.57  -0.59 0.58 243.38 298.54 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:04:17:13.416 2009:174:04:22:18.881 -46.72 6         RETR RETR 57019 NMAN      151.09 XTZ0000005 0.11  0.48  -0.62 0.61 249.84 317.61 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:04:22:18.881 2009:174:04:27:24.345 -51.25 6         RETR RETR 57019 NMAN      152.03 XTZ0000005 0.26  0.35  -0.64 0.63 264.01 348.77 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:04:27:24.345 2009:174:04:32:29.810 -50.11 6         RETR RETR 57019 NMAN      153.13 XTZ0000005 0.40  0.21  -0.63 0.63 280.26 21.85  TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:04:32:29.810 2009:174:04:37:35.274 -43.79 6         RETR RETR 57019 NMAN      154.23 XTZ0000005 0.52  0.06  -0.60 0.61 292.29 51.14  TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:04:37:35.274 2009:174:04:42:40.739 -34.47 6         RETR RETR 57019 NMAN      155.16 XTZ0000005 0.62  -0.10 -0.54 0.56 298.09 75.29  TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:04:42:40.739 2009:174:04:47:46.203 -24.17 6         RETR RETR 57019 NMAN      155.70 XTZ0000005 0.70  -0.25 -0.47 0.48 298.78 96.06  TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:04:47:46.203 2009:174:04:52:51.668 -16.99 6         RETR RETR 57019 NMAN      155.88 XTZ0000005 0.73  -0.35 -0.40 0.42 296.88 109.98 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:04:52:51.668 2009:174:05:22:42.236 -15.00 6         RETR RETR 57019 NPNT      155.90 XTZ0000005 0.74  -0.38 -0.38 0.40 296.00 113.98 TE_0021C -468      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2009:174:05:22:42.236 2009:174:05:25:42.236 -15.00 6         RETR RETR 57019 NPNT      155.90 AA00000000 0.74  -0.38 -0.38 0.40 296.00 113.98 TE_0021C -468      -99616 clocking,power_cmd                               1        
6         0        2009:174:05:25:42.236 2009:174:05:25:51.236 -15.00 6         RETR RETR 57019 NPNT      155.90 AA00000000 0.74  -0.38 -0.38 0.40 296.00 113.98 TE_0021C -468      -99616 clocking,power_cmd                               1        
6         0        2009:174:05:25:51.236 2009:174:08:04:07.799 -15.00 6         RETR RETR 57019 NPNT      155.90 WSVIDALLDN 0.74  -0.38 -0.38 0.40 296.00 113.98 TE_0021C -468      -99616 power_cmd,vid_board                              0        
6         0        2009:174:08:04:07.799 2009:174:08:04:18.050 -15.00 6         RETR RETR 57018 NMAN      155.90 WSVIDALLDN 0.74  -0.38 -0.38 0.40 296.00 113.98 TE_0021C -468      -99616 obsid,pcad_mode                                  0        
6         0        2009:174:08:04:18.050 2009:174:08:09:28.969 -15.00 6         RETR RETR 57018 NMAN      153.59 WSVIDALLDN 0.74  -0.38 -0.38 0.40 296.00 113.98 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:08:09:28.969 2009:174:08:14:39.888 -13.70 6         RETR RETR 57018 NMAN      142.79 WSVIDALLDN 0.76  -0.36 -0.35 0.42 300.90 114.70 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:08:14:39.888 2009:174:08:19:50.807 -8.88  6         RETR RETR 57018 NMAN      122.94 WSVIDALLDN 0.80  -0.27 -0.25 0.47 317.40 116.26 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:08:19:50.807 2009:174:08:25:01.726 -1.98  6         RETR RETR 57018 NMAN      103.09 WSVIDALLDN 0.84  -0.14 -0.11 0.52 339.63 116.05 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:08:25:01.726 2009:174:08:30:12.645 2.74   6         RETR RETR 57018 NMAN      92.31  WSVIDALLDN 0.84  -0.04 0.00  0.54 355.83 114.24 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:08:30:12.645 2009:174:09:51:52.394 4.00   6         RETR RETR 57018 NPNT      89.87  WSVIDALLDN 0.84  -0.01 0.03  0.55 0.60   113.46 TE_0021C -468      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          0        
6         0        2009:174:09:51:52.394 2009:174:09:52:02.645 4.00   6         RETR RETR 57017 NMAN      89.87  WSVIDALLDN 0.84  -0.01 0.03  0.55 0.60   113.46 TE_0021C -468      -99616 obsid,pcad_mode                                  0        
6         0        2009:174:09:52:02.645 2009:174:09:56:52.146 4.00   6         RETR RETR 57017 NMAN      89.26  WSVIDALLDN 0.84  -0.01 0.03  0.55 0.60   113.46 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:09:56:52.146 2009:174:10:01:41.646 0.98   6         RETR RETR 57017 NMAN      86.04  WSVIDALLDN 0.84  0.02  0.02  0.54 3.38   114.38 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:10:01:41.646 2009:174:10:06:31.147 -9.03  6         RETR RETR 57017 NMAN      79.34  WSVIDALLDN 0.85  0.14  -0.01 0.51 13.45  118.71 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:10:06:31.147 2009:174:10:11:20.647 -21.87 6         RETR RETR 57017 NMAN      71.01  WSVIDALLDN 0.83  0.31  -0.05 0.46 30.56  128.68 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:10:11:20.647 2009:174:10:16:10.148 -30.88 6         RETR RETR 57017 NMAN      64.23  WSVIDALLDN 0.79  0.47  -0.10 0.38 51.63  143.51 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:10:16:10.148 2009:174:10:20:59.649 -33.75 6         RETR RETR 57017 NMAN      60.96  WSVIDALLDN 0.74  0.57  -0.12 0.32 68.07  155.96 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:10:20:59.649 2009:174:10:44:23.048 -34.00 6         RETR RETR 57017 NPNT      60.28  WSVIDALLDN 0.73  0.60  -0.13 0.31 73.00  159.75 TE_0021C -468      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          0        
6         0        2009:174:10:44:23.048 2009:174:10:44:33.299 -34.00 6         RETR RETR 57016 NMAN      60.28  WSVIDALLDN 0.73  0.60  -0.13 0.31 73.00  159.75 TE_0021C -468      -99616 obsid,pcad_mode                                  0        
6         0        2009:174:10:44:33.299 2009:174:10:49:44.457 -34.00 6         RETR RETR 57016 NMAN      60.29  WSVIDALLDN 0.73  0.60  -0.13 0.31 73.00  159.75 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:10:49:44.457 2009:174:10:54:55.616 -32.33 6         RETR RETR 57016 NMAN      60.30  WSVIDALLDN 0.74  0.58  -0.11 0.33 68.26  154.69 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:10:54:55.616 2009:174:11:00:06.774 -24.27 6         RETR RETR 57016 NMAN      60.32  WSVIDALLDN 0.78  0.48  -0.02 0.39 54.24  139.51 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:11:00:06.774 2009:174:11:05:17.933 -9.07  6         RETR RETR 57016 NMAN      60.31  WSVIDALLDN 0.81  0.34  0.10  0.47 40.30  123.74 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:11:05:17.933 2009:174:11:10:29.091 8.84   6         RETR RETR 57016 NMAN      60.30  WSVIDALLDN 0.81  0.18  0.21  0.52 30.93  112.00 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:11:10:29.091 2009:174:11:15:40.250 22.82  6         RETR RETR 57016 NMAN      60.28  WSVIDALLDN 0.78  0.06  0.29  0.55 26.13  104.83 TE_0021C -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2009:174:11:15:40.250 2009:174:14:21:53.236 27.00  6         RETR RETR 57016 NPNT      60.28  WSVIDALLDN 0.77  0.02  0.31  0.55 25.00  102.84 TE_0021C -468      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          0        
6         0        2009:174:14:21:53.236 2009:174:14:21:57.236 27.00  6         RETR RETR 57015 NPNT      60.28  AA00000000 0.77  0.02  0.31  0.55 25.00  102.84 TE_0021C -468      -99616 clocking,obsid,power_cmd                         0        
6         0        2009:174:14:21:57.236 2009:174:14:22:01.236 27.00  6         RETR RETR 57015 NPNT      60.28  AA00000000 0.77  0.02  0.31  0.55 25.00  102.84 TE_0021C -468      -99616 clocking,power_cmd                               0        
0         0        2009:174:14:22:01.236 2009:174:14:22:25.236 27.00  0         RETR RETR 57015 NPNT      60.28  WSPOW00000 0.77  0.02  0.31  0.55 25.00  102.84 TE_0021C -468      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:174:14:22:25.236 2009:174:14:23:28.236 27.00  6         RETR RETR 57015 NPNT      60.28  WSPOW0AF3F 0.77  0.02  0.31  0.55 25.00  102.84 TE_0021C -468      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2009:174:14:23:28.236 2009:174:14:23:32.236 27.00  6         RETR RETR 57015 NPNT      60.28  WSPOW0AF3F 0.77  0.02  0.31  0.55 25.00  102.84 TE_008EA -468      -99616 si_mode                                          1        
6         1        2009:174:14:23:32.236 2009:174:16:27:08.475 27.00  6         RETR RETR 57015 NPNT      60.28  XTZ0000005 0.77  0.02  0.31  0.55 25.00  102.84 TE_008EA -468      -99616 clocking,power_cmd                               1        
6         1        2009:174:16:27:08.475 2009:174:16:27:18.726 27.00  6         RETR RETR 57015 NMAN      60.28  XTZ0000005 0.77  0.02  0.31  0.55 25.00  102.84 TE_008EA -468      -99616 pcad_mode                                        1        
6         1        2009:174:16:27:18.726 2009:174:16:32:32.192 27.00  6         RETR RETR 57015 NMAN      60.51  XTZ0000005 0.77  0.02  0.31  0.55 25.00  102.84 TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:16:32:32.192 2009:174:16:37:45.658 31.43  6         RETR RETR 57015 NMAN      60.77  XTZ0000005 0.76  -0.01 0.33  0.55 23.85  101.21 TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:16:37:45.658 2009:174:16:42:59.123 46.76  6         RETR RETR 57015 NMAN      61.52  XTZ0000005 0.72  -0.14 0.40  0.55 20.67  95.72  TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:16:42:59.123 2009:174:16:48:12.589 67.90  6         RETR RETR 57015 NMAN      62.79  XTZ0000005 0.63  -0.31 0.48  0.53 19.44  86.47  TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:16:48:12.589 2009:174:16:53:26.055 86.92  6         RETR RETR 57015 NMAN      64.30  XTZ0000005 0.51  -0.46 0.54  0.49 87.97  8.19   TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:16:53:26.055 2009:174:16:58:39.521 68.83  6         RETR RETR 57015 NMAN      65.80  XTZ0000005 0.38  -0.59 0.57  0.42 173.76 272.67 TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:16:58:39.521 2009:174:17:03:52.987 47.68  6         RETR RETR 57015 NMAN      67.04  XTZ0000005 0.22  -0.70 0.59  0.34 172.81 263.18 TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2009:174:17:03:52.987 2009:174:17:08:33.236 26.83  6         RETR RETR 57015 NMAN      67.80  XTZ0000005 0.06  -0.78 0.57  0.24 168.28 255.66 TE_008EA -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2009:174:17:08:33.236 2009:174:17:09:06.453 26.83  6         RETR RETR 57015 NMAN      67.80  AA00000000 0.06  -0.78 0.57  0.24 168.28 255.66 TE_008EA -468      75624  clocking,power_cmd,simpos                        1        
6         0        2009:174:17:09:06.453 2009:174:17:11:33.236 11.94  6         RETR RETR 57015 NMAN      68.06  AA00000000 -0.06 -0.82 0.55  0.17 163.60 249.71 TE_008EA -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2009:174:17:11:33.236 2009:174:17:11:37.236 11.94  6         RETR RETR 10296 NMAN      68.06  AA00000000 -0.06 -0.82 0.55  0.17 163.60 249.71 TE_008EA -468      75624  clocking,obsid,power_cmd                         1        
