datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2009:192:16:45:17.089 2009:192:16:45:27.340 56963 XTZ0000005 TE_00216 NMAN      1         1        6         6         -99616 -536      55.93  153.00 73.00  311.38 0.45  -0.45 0.66  0.41 obsid,pcad_mode                                 
2009:192:16:45:27.340 2009:192:16:50:29.922 56963 XTZ0000005 TE_00216 NMAN      1         1        6         6         -99616 -536      55.63  153.00 73.00  311.38 0.45  -0.45 0.66  0.41 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:192:16:50:29.922 2009:192:16:55:32.505 56963 XTZ0000005 TE_00216 NMAN      1         1        6         6         -99616 -536      54.27  141.80 74.99  325.04 0.47  -0.42 0.66  0.42 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:192:16:55:32.505 2009:192:17:00:35.087 56963 XTZ0000005 TE_00216 NMAN      1         1        6         6         -99616 -536      51.60  92.92  74.32  22.32  0.54  -0.30 0.65  0.45 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:192:17:00:35.087 2009:192:17:05:37.669 56963 XTZ0000005 TE_00216 NMAN      1         1        6         6         -99616 -536      48.91  64.47  60.01  62.89  0.61  -0.12 0.61  0.49 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:192:17:05:37.669 2009:192:17:10:40.251 56963 XTZ0000005 TE_00216 NMAN      1         1        6         6         -99616 -536      47.53  60.29  47.66  76.24  0.65  0.01  0.58  0.50 dec,pitch,q1,q2,q3,q4,ra,roll                   
2009:192:17:10:40.251 2009:192:17:34:54.025 56963 XTZ0000005 TE_00216 NPNT      1         1        6         6         -99616 -536      47.24  60.00  44.00  79.32  0.66  0.05  0.56  0.50 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll         
2009:192:17:34:54.025 2009:192:17:37:54.025 56963 AA00000000 TE_00216 NPNT      1         0        6         6         -99616 -536      47.24  60.00  44.00  79.32  0.66  0.05  0.56  0.50 clocking,power_cmd                              
2009:192:17:37:54.025 2009:192:17:38:03.025 56963 AA00000000 TE_00216 NPNT      1         0        6         6         -99616 -536      47.24  60.00  44.00  79.32  0.66  0.05  0.56  0.50 clocking,power_cmd                              
2009:192:17:38:03.025 2009:192:21:10:40.560 56963 WSVIDALLDN TE_00216 NPNT      0         0        6         6         -99616 -536      47.24  60.00  44.00  79.32  0.66  0.05  0.56  0.50 power_cmd,vid_board                             
2009:192:21:10:40.560 2009:192:21:10:50.811 56962 WSVIDALLDN TE_00216 NMAN      0         0        6         6         -99616 -536      47.24  60.00  44.00  79.32  0.66  0.05  0.56  0.50 obsid,pcad_mode                                 
2009:192:21:10:50.811 2009:192:21:15:54.087 56962 WSVIDALLDN TE_00216 NMAN      0         0        6         6         -99616 -536      47.38  60.00  44.00  79.32  0.66  0.05  0.56  0.50 dec,pitch,q1,q2,q3,q4,ra,roll                   
