ccd_count clocking datestart             datestop              dec    fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
6         0        2010:132:04:58:27.583 2010:132:04:58:37.834 -30.00 6         RETR RETR 56265 NMAN      155.28 WSVIDALLDN 0.10  0.56  -0.76 0.31 205.00 293.69 TE_0021C -536      -99616 obsid,pcad_mode                                  0        
6         0        2010:132:04:58:37.834 2010:132:05:02:59.608 -30.00 6         RETR RETR 56265 NMAN      153.68 WSVIDALLDN 0.10  0.56  -0.76 0.31 205.00 293.69 TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2010:132:05:02:59.608 2010:132:05:07:21.382 -30.58 6         RETR RETR 56265 NMAN      150.68 WSVIDALLDN 0.11  0.58  -0.75 0.30 201.52 290.69 TE_0021C -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2010:132:05:07:21.382 2010:132:05:11:39.357 -31.00 6         RETR RETR 56265 NPNT      149.17 WSVIDALLDN 0.12  0.60  -0.74 0.28 198.00 287.63 TE_0021C -536      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          0        
6         0        2010:132:05:11:39.357 2010:132:05:11:43.357 -31.00 6         RETR RETR 56265 NPNT      149.17 AA00000000 0.12  0.60  -0.74 0.28 198.00 287.63 TE_0021C -536      -99616 clocking,power_cmd                               0        
6         0        2010:132:05:11:43.357 2010:132:05:11:47.357 -31.00 6         RETR RETR 56265 NPNT      149.17 AA00000000 0.12  0.60  -0.74 0.28 198.00 287.63 TE_0021C -536      -99616 clocking,power_cmd                               0        
0         0        2010:132:05:11:47.357 2010:132:05:12:11.357 -31.00 0         RETR RETR 56265 NPNT      149.17 WSPOW00000 0.12  0.60  -0.74 0.28 198.00 287.63 TE_0021C -536      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2010:132:05:12:11.357 2010:132:05:13:14.357 -31.00 6         RETR RETR 56265 NPNT      149.17 WSPOW0AF3F 0.12  0.60  -0.74 0.28 198.00 287.63 TE_0021C -536      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2010:132:05:13:14.357 2010:132:05:13:18.357 -31.00 6         RETR RETR 56265 NPNT      149.17 WSPOW0AF3F 0.12  0.60  -0.74 0.28 198.00 287.63 TE_008EA -536      -99616 si_mode                                          1        
6         1        2010:132:05:13:18.357 2010:132:07:25:32.320 -31.00 6         RETR RETR 56265 NPNT      149.17 XTZ0000005 0.12  0.60  -0.74 0.28 198.00 287.63 TE_008EA -536      -99616 clocking,power_cmd                               1        
6         1        2010:132:07:25:32.320 2010:132:07:25:42.571 -31.00 6         RETR RETR 56265 NMAN      149.17 XTZ0000005 0.12  0.60  -0.74 0.28 198.00 287.63 TE_008EA -536      -99616 pcad_mode                                        1        
6         1        2010:132:07:25:42.571 2010:132:07:30:33.477 -31.00 6         RETR RETR 56265 NMAN      149.03 XTZ0000005 0.12  0.60  -0.74 0.28 198.00 287.63 TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:132:07:30:33.477 2010:132:07:35:24.382 -33.35 6         RETR RETR 56265 NMAN      148.60 XTZ0000005 0.15  0.57  -0.76 0.29 198.79 291.56 TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:132:07:35:24.382 2010:132:07:40:15.288 -40.97 6         RETR RETR 56265 NMAN      147.55 XTZ0000005 0.22  0.48  -0.79 0.32 203.31 306.45 TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:132:07:40:15.288 2010:132:07:45:06.194 -49.55 6         RETR RETR 56265 NMAN      146.05 XTZ0000005 0.32  0.33  -0.81 0.36 215.95 333.30 TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:132:07:45:06.194 2010:132:07:49:57.099 -52.57 6         RETR RETR 56265 NMAN      144.44 XTZ0000005 0.41  0.16  -0.80 0.39 235.18 6.30   TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:132:07:49:57.099 2010:132:07:54:48.005 -48.52 6         RETR RETR 56265 NMAN      142.95 XTZ0000005 0.49  -0.01 -0.77 0.41 253.73 38.65  TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:132:07:54:48.005 2010:132:07:58:19.357 -39.34 6         RETR RETR 56265 NMAN      141.92 XTZ0000005 0.55  -0.18 -0.71 0.41 265.20 64.49  TE_008EA -536      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2010:132:07:58:19.357 2010:132:07:59:38.911 -39.34 6         RETR RETR 56265 NMAN      141.92 AA00000000 0.55  -0.18 -0.71 0.41 265.20 64.49  TE_008EA -536      92904  clocking,power_cmd,simpos                        1        
