datestart             datestop              dir                 
2009:346:11:43:59.000 2009:347:12:32:21.966 /2009/DEC0709/oflsa/
2009:347:12:32:21.966 2009:348:22:22:17.879 /2009/DEC1409/oflsb/
2009:349:00:45:00.000 2009:350:11:20:01.285 /2009/DEC1409/oflsb/
2009:350:12:50:01.285 2009:351:21:48:54.065 /2009/DEC1409/oflsb/
2009:352:02:52:34.065 2009:353:12:30:02.056 /2009/DEC1409/oflsb/
2009:353:20:10:00.000 2009:354:16:39:04.868 /2009/DEC1409/oflsb/
2009:354:16:39:04.868 2009:356:12:30:02.056 /2009/DEC2109/oflsb/
2009:356:13:43:45.103 2009:358:06:06:36.965 /2009/DEC2109/oflsb/
2009:358:09:23:36.965 2009:360:03:45:01.285 /2009/DEC2109/oflsb/
2009:360:05:15:01.285 2009:361:23:28:08.768 /2009/DEC2109/oflsb/
2009:361:23:27:00.000 2009:363:07:37:36.224 /2009/DEC2809/oflsa/
2009:363:10:25:31.873 2009:364:14:57:25.747 /2009/DEC2809/oflsa/
2009:364:21:55:00.000 2010:001:03:15:02.056 /2009/DEC2809/oflsa/
2010:001:06:33:40.161 2010:002:13:25:02.313 /2009/DEC2809/oflsa/
2010:002:15:21:52.687 2010:003:19:30:02.056 /2009/DEC2809/oflsa/
2010:004:03:50:00.000 2010:005:11:00:01.285 /2009/DEC2809/oflsa/
2010:005:12:30:01.285 2010:006:20:15:02.056 /2009/DEC2809/oflsa/
2010:007:00:09:17.651 2010:008:06:57:51.746 /2009/DEC2809/oflsa/
2010:008:11:00:00.000 2010:009:17:13:46.092 /2009/DEC2809/oflsa/
2010:009:18:17:26.092 2010:011:03:01:45.385 /2009/DEC2809/oflsa/
2010:011:02:58:45.385 2010:012:12:30:02.056 /2010/JAN1110/oflsa/
2010:012:15:26:49.626 2010:013:22:30:02.056 /2010/JAN1110/oflsa/
2010:014:01:23:49.008 2010:015:08:55:38.558 /2010/JAN1110/oflsa/
2010:015:10:08:27.483 2010:016:15:03:22.002 /2010/JAN1110/oflsa/
2010:016:19:45:00.000 2010:017:12:35:08.703 /2010/JAN1110/oflsa/
2010:017:12:32:08.703 2010:019:04:02:22.946 /2010/JAN1810/oflsa/
2010:019:08:30:45.946 2010:021:04:10:02.056 /2010/JAN1810/oflsa/
2010:021:04:43:23.169 2010:022:20:20:02.056 /2010/JAN1810/oflsa/
2010:023:03:00:00.000 2010:023:15:15:00.000 /2010/JAN1810/oflsa/
2010:023:15:15:00.000 2010:023:22:20:02.056 /2010/JAN2310/oflsb/
2010:024:02:08:32.215 2010:025:13:34:02.185 /2010/JAN2310/oflsb/
2010:025:20:00:00.000 2010:027:04:20:02.056 /2010/JAN2310/oflsb/
2010:027:12:23:50.924 2010:028:21:00:09.000 /2010/JAN2310/oflsb/
2010:029:00:32:50.462 2010:030:11:00:01.285 /2010/JAN2310/oflsb/
2010:030:12:00:06.248 2010:031:08:33:44.988 /2010/JAN2310/oflsb/
2010:031:08:30:50.000 2010:032:13:30:02.056 /2010/FEB0110/oflsb/
2010:032:19:08:37.146 2010:034:03:35:09.000 /2010/FEB0110/oflsb/
2010:034:08:56:49.298 2010:035:12:30:02.056 /2010/FEB0110/oflsb/
2010:035:14:39:29.469 2010:036:23:45:34.422 /2010/FEB0110/oflsb/
2010:037:00:40:18.102 2010:038:05:15:02.056 /2010/FEB0110/oflsb/
2010:038:10:16:34.578 2010:039:06:56:24.153 /2010/FEB0110/oflsb/
