datestart             datestop              obsid power_cmd  si_mode  pcad_mode vid_board clocking fep_count ccd_count simpos simfa_pos pitch  ra     dec    roll   q1    q2    q3    q4   trans_keys                                      
2003:296:21:00:46.111 2003:296:21:00:56.362 5190  AA00000000 TE_002A2 NMAN      1         0        6         6         75624  -468      50.89  237.75 -56.46 219.72 -0.26 0.80  -0.05 0.53 clocking,pcad_mode,power_cmd                    
2003:296:21:00:56.362 2003:296:21:03:46.111 5190  AA00000000 TE_002A2 NMAN      1         0        6         6         75624  -468      50.55  237.75 -56.46 219.72 -0.26 0.80  -0.05 0.53 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:296:21:03:46.111 2003:296:21:03:50.111 3952  AA00000000 TE_002A2 NMAN      1         0        6         6         75624  -468      50.55  237.75 -56.46 219.72 -0.26 0.80  -0.05 0.53 clocking,obsid,power_cmd                        
2003:296:21:03:50.111 2003:296:21:03:54.111 3952  AA00000000 TE_002A2 NMAN      1         0        6         6         75624  -468      50.55  237.75 -56.46 219.72 -0.26 0.80  -0.05 0.53 clocking,power_cmd                              
2003:296:21:03:54.111 2003:296:21:04:18.111 3952  WSPOW00000 TE_002A2 NMAN      1         0        0         0         75624  -468      50.55  237.75 -56.46 219.72 -0.26 0.80  -0.05 0.53 ccd_count,clocking,fep_count,power_cmd,vid_board
2003:296:21:04:18.111 2003:296:21:05:21.111 3952  WSPOW08F3F TE_002A2 NMAN      1         0        6         5         75624  -468      50.55  237.75 -56.46 219.72 -0.26 0.80  -0.05 0.53 ccd_count,clocking,fep_count,power_cmd,vid_board
2003:296:21:05:21.111 2003:296:21:05:25.111 3952  WSPOW08F3F TE_003EA NMAN      1         0        6         5         75624  -468      50.55  237.75 -56.46 219.72 -0.26 0.80  -0.05 0.53 si_mode                                         
2003:296:21:05:25.111 2003:296:21:05:55.157 3952  XTZ0000005 TE_003EA NMAN      1         1        6         5         75624  -468      50.55  237.75 -56.46 219.72 -0.26 0.80  -0.05 0.53 clocking,power_cmd                              
2003:296:21:05:55.157 2003:296:21:10:53.953 3952  XTZ0000005 TE_003EA NMAN      1         1        6         5         75624  -468      50.78  232.34 -58.61 212.42 -0.25 0.81  -0.01 0.53 dec,pitch,q1,q2,q3,q4,ra,roll                   
2003:296:21:10:53.953 2003:296:21:15:52.748 3952  XTZ0000005 TE_003EA NMAN      1         1        6         5         75624  -468      51.35  208.10 -62.45 181.77 -0.20 0.83  0.11  0.51 dec,pitch,q1,q2,q3,q4,ra,roll                   
