ccd_count clocking datestart             datestop              dec    fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
5         0        2008:340:04:55:24.285 2008:340:04:55:34.536 21.36  5         RETR RETR 10438 NMAN      50.89  AA00000000 -0.06 -0.32 -0.85 0.41 225.10 32.19  TE_00458 -536      75624  clocking,pcad_mode,power_cmd,simpos              1        
5         0        2008:340:04:55:34.536 2008:340:04:57:20.179 21.36  5         RETR RETR 10438 NMAN      53.41  AA00000000 -0.06 -0.32 -0.85 0.41 225.10 32.19  TE_00458 -536      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2008:340:04:57:20.179 2008:340:04:58:24.285 21.36  5         RETR RETR 10438 NMAN      53.41  AA00000000 -0.06 -0.32 -0.85 0.41 225.10 32.19  TE_00458 -418      75624  simfa_pos                                        1        
5         0        2008:340:04:58:24.285 2008:340:04:58:28.285 21.36  5         RETR RETR 9297  NMAN      53.41  AA00000000 -0.06 -0.32 -0.85 0.41 225.10 32.19  TE_00458 -418      75624  clocking,obsid,power_cmd                         1        
5         0        2008:340:04:58:28.285 2008:340:04:58:32.285 21.36  5         RETR RETR 9297  NMAN      53.41  AA00000000 -0.06 -0.32 -0.85 0.41 225.10 32.19  TE_00458 -418      75624  clocking,power_cmd                               1        
0         0        2008:340:04:58:32.285 2008:340:04:58:38.939 21.36  0         RETR RETR 9297  NMAN      53.41  WSPOW00000 -0.06 -0.32 -0.85 0.41 225.10 32.19  TE_00458 -418      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
0         0        2008:340:04:58:38.939 2008:340:04:58:56.285 21.36  0         RETR RETR 9297  NMAN      53.41  WSPOW00000 -0.06 -0.32 -0.85 0.41 225.10 32.19  TE_00458 -468      75624  simfa_pos                                        1        
4         0        2008:340:04:58:56.285 2008:340:04:59:59.285 21.36  4         RETR RETR 9297  NMAN      53.41  WSPOW0CC1E -0.06 -0.32 -0.85 0.41 225.10 32.19  TE_00458 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
4         0        2008:340:04:59:59.285 2008:340:05:00:03.285 21.36  4         RETR RETR 9297  NMAN      53.41  WSPOW0CC1E -0.06 -0.32 -0.85 0.41 225.10 32.19  TE_006CC -468      75624  si_mode                                          1        
4         1        2008:340:05:00:03.285 2008:340:05:00:59.571 21.36  4         RETR RETR 9297  NMAN      53.41  XTZ0000005 -0.06 -0.32 -0.85 0.41 225.10 32.19  TE_006CC -468      75624  clocking,power_cmd                               1        
4         1        2008:340:05:00:59.571 2008:340:05:06:24.605 26.81  4         RETR RETR 9297  NMAN      64.01  XTZ0000005 -0.10 -0.33 -0.84 0.42 224.93 31.95  TE_006CC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         1        2008:340:05:06:24.605 2008:340:05:11:49.640 45.32  4         RETR RETR 9297  NMAN      83.21  XTZ0000005 -0.25 -0.37 -0.78 0.43 224.47 31.14  TE_006CC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         1        2008:340:05:11:49.640 2008:340:05:17:14.674 69.66  4         RETR RETR 9297  NMAN      102.40 XTZ0000005 -0.43 -0.40 -0.68 0.44 224.42 29.76  TE_006CC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         1        2008:340:05:17:14.674 2008:340:05:22:39.709 88.13  4         RETR RETR 9297  NMAN      112.99 XTZ0000005 -0.56 -0.42 -0.58 0.43 235.87 17.31  TE_006CC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         1        2008:340:05:22:39.709 2008:340:07:40:19.458 86.34  4         RETR RETR 9297  NPNT      115.35 XTZ0000005 -0.59 -0.42 -0.55 0.42 35.94  216.95 TE_006CC -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
4         0        2008:340:07:40:19.458 2008:340:07:40:29.709 86.34  4         RETR RETR 9297  NMAN      115.35 AA00000000 -0.59 -0.42 -0.55 0.42 35.94  216.95 TE_006CC -468      75624  clocking,pcad_mode,power_cmd                     1        
4         0        2008:340:07:40:29.709 2008:340:07:43:19.458 86.34  4         RETR RETR 9297  NMAN      117.60 AA00000000 -0.59 -0.42 -0.55 0.42 35.94  216.95 TE_006CC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         0        2008:340:07:43:19.458 2008:340:07:45:28.468 86.34  4         RETR RETR 57462 NMAN      117.60 AA00000000 -0.59 -0.42 -0.55 0.42 35.94  216.95 TE_006CC -468      75624  obsid                                            1        
4         0        2008:340:07:45:28.468 2008:340:07:50:27.226 82.13  4         RETR RETR 57462 NMAN      127.53 AA00000000 -0.61 -0.44 -0.52 0.41 53.27  200.18 TE_006CC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         0        2008:340:07:50:27.226 2008:340:07:55:25.985 66.87  4         RETR RETR 57462 NMAN      142.91 AA00000000 -0.68 -0.49 -0.42 0.36 63.43  191.99 TE_006CC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         0        2008:340:07:55:25.985 2008:340:08:00:24.743 51.49  4         RETR RETR 57462 NMAN      152.84 AA00000000 -0.73 -0.53 -0.31 0.31 66.38  191.13 TE_006CC -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         0        2008:340:08:00:24.743 2008:340:08:04:54.492 47.00  4         RETR RETR 57462 NPNT      155.08 AA00000000 -0.74 -0.54 -0.28 0.29 67.00  191.14 TE_006CC -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
4         0        2008:340:08:04:54.492 2008:340:08:05:04.743 47.00  4         RETR RETR 9148  NMAN      155.08 AA00000000 -0.74 -0.54 -0.28 0.29 67.00  191.14 TE_006CC -468      74288  obsid,pcad_mode,simpos                           1        
4         0        2008:340:08:05:04.743 2008:340:08:05:28.831 47.00  4         RETR RETR 9148  NMAN      154.83 AA00000000 -0.74 -0.54 -0.28 0.29 67.00  191.14 TE_006CC -468      74288  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
4         0        2008:340:08:05:28.831 2008:340:08:09:45.092 47.00  4         INSR RETR 9148  NMAN      154.83 AA00000000 -0.74 -0.54 -0.28 0.29 67.00  191.14 TE_006CC -468      74288  hetg                                             1        
4         0        2008:340:08:09:45.092 2008:340:08:09:49.092 47.00  4         INSR RETR 9148  NMAN      154.83 AA00000000 -0.74 -0.54 -0.28 0.29 67.00  191.14 TE_006CC -468      74288  clocking,power_cmd                               1        
4         0        2008:340:08:09:49.092 2008:340:08:09:53.092 47.00  4         INSR RETR 9148  NMAN      154.83 AA00000000 -0.74 -0.54 -0.28 0.29 67.00  191.14 TE_006CC -468      74288  clocking,power_cmd                               1        
0         0        2008:340:08:09:53.092 2008:340:08:10:17.092 47.00  0         INSR RETR 9148  NMAN      154.83 WSPOW00000 -0.74 -0.54 -0.28 0.29 67.00  191.14 TE_006CC -468      74288  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2008:340:08:10:17.092 2008:340:08:10:22.602 47.00  6         INSR RETR 9148  NMAN      154.83 WSPOW3F03F -0.74 -0.54 -0.28 0.29 67.00  191.14 TE_006CC -468      74288  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2008:340:08:10:22.602 2008:340:08:11:20.092 46.77  6         INSR RETR 9148  NMAN      153.56 WSPOW3F03F -0.74 -0.53 -0.26 0.33 63.09  198.45 TE_006CC -468      74288  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2008:340:08:11:20.092 2008:340:08:11:24.092 46.77  6         INSR RETR 9148  NMAN      153.56 WSPOW3F03F -0.74 -0.53 -0.26 0.33 63.09  198.45 TE_0036C -468      74288  si_mode                                          1        
6         1        2008:340:08:11:24.092 2008:340:08:15:40.462 46.77  6         INSR RETR 9148  NMAN      153.56 XTZ0000005 -0.74 -0.53 -0.26 0.33 63.09  198.45 TE_0036C -468      74288  clocking,power_cmd                               1        
6         1        2008:340:08:15:40.462 2008:340:08:20:58.321 43.56  6         INSR RETR 9148  NMAN      150.96 XTZ0000005 -0.72 -0.49 -0.17 0.45 50.95  222.30 TE_0036C -468      74288  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2008:340:08:20:58.321 2008:340:08:26:16.181 34.70  6         INSR RETR 9148  NMAN      147.83 XTZ0000005 -0.68 -0.43 -0.04 0.60 40.03  249.72 TE_0036C -468      74288  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2008:340:08:26:16.181 2008:340:08:31:34.040 23.11  6         INSR RETR 9148  NMAN      144.98 XTZ0000005 -0.60 -0.34 0.08  0.72 35.53  272.40 TE_0036C -468      74288  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2008:340:08:31:34.040 2008:340:08:36:51.900 10.88  6         INSR RETR 9148  NMAN      142.98 XTZ0000005 -0.50 -0.25 0.21  0.80 36.13  292.72 TE_0036C -468      74288  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2008:340:08:36:51.900 2008:340:08:42:09.759 2.32   6         INSR RETR 9148  NMAN      142.12 XTZ0000005 -0.41 -0.17 0.29  0.85 39.31  307.57 TE_0036C -468      74288  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2008:340:08:42:09.759 2008:341:07:11:29.510 -0.01  6         INSR RETR 9148  NPNT      141.96 XTZ0000005 -0.38 -0.14 0.32  0.86 40.65  312.00 TE_0036C -468      74288  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2008:341:07:11:29.510 2008:341:07:11:39.761 -0.01  6         INSR RETR 9148  NMAN      141.96 AA00000000 -0.38 -0.14 0.32  0.86 40.65  312.00 TE_0036C -468      92904  clocking,pcad_mode,power_cmd,simpos              1        
6         0        2008:341:07:11:39.761 2008:341:07:13:30.523 -0.01  6         INSR RETR 9148  NMAN      142.72 AA00000000 -0.38 -0.14 0.32  0.86 40.65  312.00 TE_0036C -468      92904  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2008:341:07:13:30.523 2008:341:07:14:29.510 -0.01  6         INSR RETR 9148  NMAN      142.72 AA00000000 -0.38 -0.14 0.32  0.86 40.65  312.00 TE_0036C -536      92904  simfa_pos                                        1        
6         0        2008:341:07:14:29.510 2008:341:07:15:03.849 -0.01  6         INSR RETR 10267 NMAN      142.72 AA00000000 -0.38 -0.14 0.32  0.86 40.65  312.00 TE_0036C -536      92904  obsid                                            1        
6         0        2008:341:07:15:03.849 2008:341:07:16:45.000 -0.01  6         RETR RETR 10267 NMAN      142.72 AA00000000 -0.38 -0.14 0.32  0.86 40.65  312.00 TE_0036C -536      92904  hetg                                             1        
6         0        2008:341:07:16:45.000 2008:341:07:19:20.110 -0.11  6         RETR RETR 10267 NMAN      145.90 AA00000000 -0.36 -0.15 0.35  0.85 44.93  313.90 TE_0036C -536      92904  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2008:341:07:19:20.110 2008:341:07:19:24.110 -0.11  6         RETR RETR 10267 NMAN      145.90 AA00000000 -0.36 -0.15 0.35  0.85 44.93  313.90 TE_0036C -536      92904  clocking,power_cmd                               1        
