ccd_count clocking datestart             datestop              dec    fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
5         0        2009:185:13:50:02.712 2009:185:13:50:12.963 -16.09 5         RETR RETR 10439 NMAN      124.70 AA00000000 0.80  -0.04 -0.20 0.56 342.14 106.98 TE_00458 -536      -50504 clocking,pcad_mode,power_cmd,simpos              1        
5         0        2009:185:13:50:12.963 2009:185:13:53:02.712 -16.09 5         RETR RETR 10439 NMAN      123.76 AA00000000 0.80  -0.04 -0.20 0.56 342.14 106.98 TE_00458 -536      -50504 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2009:185:13:53:02.712 2009:185:13:54:52.093 -16.09 5         RETR RETR 10919 NMAN      123.76 AA00000000 0.80  -0.04 -0.20 0.56 342.14 106.98 TE_00458 -536      -50504 obsid                                            1        
5         0        2009:185:13:54:52.093 2009:185:13:55:29.758 -16.09 5         RETR RETR 10919 NMAN      123.76 AA00000000 0.80  -0.04 -0.20 0.56 342.14 106.98 TE_00458 -716      -50504 simfa_pos                                        1        
5         0        2009:185:13:55:29.758 2009:185:14:00:46.552 -19.47 5         RETR RETR 10919 NMAN      118.45 AA00000000 0.79  0.00  -0.21 0.57 345.72 106.18 TE_00458 -716      -50504 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2009:185:14:00:46.552 2009:185:14:06:03.347 -31.18 5         RETR RETR 10919 NMAN      110.18 AA00000000 0.77  0.15  -0.22 0.58 358.32 105.12 TE_00458 -716      -50504 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2009:185:14:06:03.347 2009:185:14:11:20.141 -42.80 5         RETR RETR 10919 NMAN      104.88 AA00000000 0.72  0.30  -0.23 0.58 12.75  107.37 TE_00458 -716      -50504 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2009:185:14:11:20.141 2009:185:14:32:19.890 -46.09 5         RETR RETR 10919 NPNT      103.71 AA00000000 0.70  0.34  -0.23 0.58 17.65  108.91 TE_00458 -716      -50504 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
5         0        2009:185:14:32:19.890 2009:185:14:32:30.141 -46.09 5         RETR RETR 10539 NMAN      103.71 AA00000000 0.70  0.34  -0.23 0.58 17.65  108.91 TE_00458 -716      75624  obsid,pcad_mode,simpos                           1        
5         0        2009:185:14:32:30.141 2009:185:14:35:19.890 -46.09 5         RETR RETR 10539 NMAN      101.23 AA00000000 0.70  0.34  -0.23 0.58 17.65  108.91 TE_00458 -716      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
