id	load_segment	year	datestart	datestop	load_scs	fixed_by_hand
4	CL321:0401	2011	2011:321:04:00:00.000	2011:322:12:30:02.056	128	0
5	CL322:1301	2011	2011:322:13:49:44.757	2011:323:22:05:02.056	129	0
6	CL324:0106	2011	2011:324:01:05:40.930	2011:325:05:32:17.177	130	0
7	CL325:1006	2011	2011:325:10:42:57.176	2011:326:20:20:01.285	128	0
8	CL326:2106	2011	2011:326:21:50:01.285	2011:328:05:30:02.056	129	0
9	CL328:1106	2011	2011:328:11:00:00.000	2011:329:16:15:02.056	130	0
10	CL329:1806	2011	2011:329:18:15:19.476	2011:330:20:15:02.056	128	0
11	CL331:0306	2011	2011:331:03:25:00.000	2011:332:04:25:51.893	129	0
12	CL332:0405	2011	2011:332:04:22:51.893	2011:335:11:00:01.542	130	0
13      CL335:1304	2011	2011:335:13:44:41.368	2011:337:04:15:02.056	128	0
14	CL335:1304	2011	2011:335:13:44:41.368	2011:337:04:15:02.056	131	0
15	CL337:1004	2011	2011:337:10:50:00.000	2011:338:19:15:47.678	129	0
16	CL337:1004	2011	2011:337:10:50:00.000	2011:338:19:15:47.678	132	0
17	CL338:1911	2011	2011:338:19:12:47.678	2011:340:05:15:02.056	130	0
18	CL338:1911	2011	2011:338:19:12:47.678	2011:340:05:15:02.056	133	0
19	CL340:0911	2011	2011:340:09:02:18.547	2011:341:12:35:02.056	128	0
20	CL340:0911	2011	2011:340:09:02:18.547	2011:341:12:35:02.056	131	0
21	CL341:2211	2011	2011:341:22:05:00.000	2011:343:05:49:30.892	129	0
22	CL341:2211	2011	2011:341:22:05:00.000	2011:343:05:49:30.892	132	0
23	CL343:0711	2011	2011:343:07:02:51.421	2011:344:13:44:55.010	130	0
24	CL343:0711	2011	2011:343:07:02:51.421	2011:344:13:44:55.010	133	0
25	CL344:1911	2011	2011:344:19:55:00.000	2011:346:00:06:00.100	128	0
26	CL344:1911	2011	2011:344:19:55:00.000	2011:346:00:06:00.100	131	0
