id	load_segment	year	datestart	datestop	load_scs	fixed_by_hand
1	CL316:0221	2011	2011:316:02:48:03.469	2011:318:07:36:42.348	128	0
2	CL318:0701	2011	2011:318:07:33:42.348	2011:319:17:04:48.852	129	0
3	CL319:1901	2011	2011:319:19:15:00.000	2011:320:22:50:02.056	130	0
4	CL321:0401	2011	2011:321:04:00:00.000	2011:322:12:30:02.056	128	0
5	CL322:1301	2011	2011:322:13:49:44.757	2011:323:22:05:02.056	129	0
6	CL324:0106	2011	2011:324:01:05:40.930	2011:325:05:32:17.177	130	0
7	CL325:1006	2011	2011:325:10:42:57.176	2011:326:20:20:01.285	128	0
8	CL326:2106	2011	2011:326:21:50:01.285	2011:328:05:30:02.056	129	0
9	CL328:1106	2011	2011:328:11:00:00.000	2011:329:16:15:02.056	130	0
10	CL329:1806	2011	2011:329:18:15:19.476	2011:330:20:15:02.056	128	0
11	CL331:0306	2011	2011:331:03:25:00.000	2011:332:04:25:51.893	129	0
12	CL332:0405	2011	2011:332:04:22:51.893	2011:335:11:00:01.542	130	0
