datestart             datestop              dir                 
2011:318:07:33:42.348 2011:319:17:04:48.852 /2011/NOV1411/oflsa/
2011:319:19:15:00.000 2011:320:22:50:02.056 /2011/NOV1411/oflsa/
2011:321:04:00:00.000 2011:322:12:30:02.056 /2011/NOV1411/oflsa/
2011:322:13:49:44.757 2011:323:22:05:02.056 /2011/NOV1411/oflsa/
2011:324:01:05:40.930 2011:325:05:32:17.177 /2011/NOV2011/oflsb/
2011:325:10:42:57.176 2011:326:20:20:01.285 /2011/NOV2011/oflsb/
2011:326:21:50:01.285 2011:328:05:30:02.056 /2011/NOV2011/oflsb/
2011:328:11:00:00.000 2011:329:16:15:02.056 /2011/NOV2011/oflsb/
2011:329:18:15:19.476 2011:330:20:15:02.056 /2011/NOV2011/oflsb/
2011:331:03:25:00.000 2011:332:04:25:51.893 /2011/NOV2011/oflsb/
2011:332:04:22:51.893 2011:335:11:00:01.542 /2011/NOV2811/oflsb/
2011:335:13:44:41.368 2011:337:04:15:02.056 /2011/DEC0111/oflsa/
2011:335:13:44:41.368 2011:337:04:15:02.056 /2011/DEC0111/oflsa/
2011:337:10:50:00.000 2011:338:19:15:47.678 /2011/DEC0111/oflsa/
2011:337:10:50:00.000 2011:338:19:15:47.678 /2011/DEC0111/oflsa/
2011:338:19:12:47.678 2011:340:05:15:02.056 /2011/DEC0511/oflsb/
2011:338:19:12:47.678 2011:340:05:15:02.056 /2011/DEC0511/oflsb/
2011:340:09:02:18.547 2011:341:12:35:02.056 /2011/DEC0511/oflsb/
2011:340:09:02:18.547 2011:341:12:35:02.056 /2011/DEC0511/oflsb/
2011:341:22:05:00.000 2011:343:05:49:30.892 /2011/DEC0511/oflsb/
2011:341:22:05:00.000 2011:343:05:49:30.892 /2011/DEC0511/oflsb/
2011:343:07:02:51.421 2011:344:13:44:55.010 /2011/DEC0511/oflsb/
2011:343:07:02:51.421 2011:344:13:44:55.010 /2011/DEC0511/oflsb/
2011:344:19:55:00.000 2011:346:00:06:00.100 /2011/DEC0511/oflsb/
2011:344:19:55:00.000 2011:346:00:06:00.100 /2011/DEC0511/oflsb/
