DO10243_CRM_Pad.txt 
ADJUSTED CRM Outputs for ER Generator 
--------------------------------------
Input file: Pad Time file DO10243_CRM_Pad.txt.orig which was created by oe_diagnostics.pl
using Ephemeris DO10243.erp, and Orbitevents DO10243.orp
CRM Flux Thresholds = Level 1: 2.0e4, Level 0: 8.0e3
Model for SI Safing: E

RADIATION EVENT     ORBIT     CTI PAD      SI_MODE     CRM FLUX     PERIGEE     ABSOLUTE TIME (of Pad)     ABSOLUTE TIME (adj EVENT)     ABSOLUTE TIME (of EVENT)     ABSOLUTE TIME (of PERIGEE)  
 (_A=Adjusted)       NUM   DURATION (Sec)                         OFFSET (Sec)  (YYYY:DOY:HH:MM:SS.SSS)    (YYYY:DOY:HH:MM:SS.SSS)       (YYYY:DOY:HH:MM:SS.SSS)      (YYYY:DOY:HH:MM:SS.SSS) 
************************************************************************************************************************************************************************************************
EEF1000_A	1529	   10000	TE_0021C	1	14400	2010:245:11:30:32.412	2010:245:14:17:12.412	2010:245:14:21:22.922	2010:245:18:17:12.412
XEF1000		1530	    8491	TE_008EA	1	NaN	2010:246:00:20:53.922	2010:245:21:59:22.922	2010:245:21:59:22.922	2010:245:18:17:12.412
EEF1000		1530	   10000	TE_00216	1	14400	2010:248:02:47:51.490	2010:248:05:34:31.490	2010:248:05:34:31.490	2010:248:09:45:13.179
XEF1000		1531	    9451	TE_0021C	1	NaN	2010:248:15:12:02.490	2010:248:12:34:31.490	2010:248:12:34:31.490	2010:248:09:45:13.179
EEF1000_A	1531	   10000	TE_008EA	1	14400	2010:250:18:26:18.707	2010:250:21:12:58.707	2010:250:21:54:41.694	2010:251:01:12:58.707
XEF1000		1532	    7531	TE_00216	1	NaN	2010:251:06:36:12.694	2010:251:04:30:41.694	2010:251:04:30:41.694	2010:251:01:12:58.707
EEF1000		1532	   10000	TE_0021C	1	14400	2010:253:09:48:36.546	2010:253:12:35:16.546	2010:253:12:35:16.546	2010:253:16:39:13.572
XEF1000		1533	    7051	TE_008EA	1	NaN	2010:253:22:14:47.546	2010:253:20:17:16.546	2010:253:20:17:16.546	2010:253:16:39:13.572
EEF1000		1533	   10000	TE_00216	1	14400	2010:256:01:14:18.392	2010:256:04:00:58.392	2010:256:04:00:58.392	2010:256:08:06:23.126
XEF1000		1534	    5000	TE_0021C	1	NaN	2010:256:12:16:18.392	2010:256:10:52:58.392	2010:256:10:52:58.392	2010:256:08:06:23.126
EEF1000_A	1534	   10000	TE_008EA	1	14400	2010:258:16:48:25.103	2010:258:19:35:05.103	2010:258:20:17:54.348	2010:258:23:35:05.103
XEF1000		1535	    8371	TE_00216	1	NaN	2010:259:05:19:25.348	2010:259:02:59:54.348	2010:259:02:59:54.348	2010:258:23:35:05.103
EEF1000		1535	   10000	TE_0021C	1	14400	2010:261:08:10:01.303	2010:261:10:56:41.303	2010:261:10:56:41.303	2010:261:15:04:27.610
XEF1000		1536	    8251	TE_008EA	1	NaN	2010:261:20:54:12.303	2010:261:18:36:41.303	2010:261:18:36:41.303	2010:261:15:04:27.610
EEF1000_A	1536	   10000	TE_00216	1	14400	2010:263:23:46:57.109	2010:264:02:33:37.109	2010:264:02:33:52.143	2010:264:06:33:37.109
XEF1000		1537	    5000	TE_0021C	1	NaN	2010:264:10:43:12.143	2010:264:09:19:52.143	2010:264:09:19:52.143	2010:264:06:33:37.109
EEF1000_A	1537	   10000	TE_008EA	1	14400	2010:266:15:15:15.088	2010:266:18:01:55.088	2010:266:18:43:43.514	2010:266:22:01:55.088
XEF1000		1538	    5000	TE_00216	1	NaN	2010:267:02:55:03.514	2010:267:01:31:43.514	2010:267:01:31:43.514	2010:266:22:01:55.088
EEF1000		1538	   10000	TE_0021C	1	14400	2010:269:06:27:22.529	2010:269:09:14:02.529	2010:269:09:14:02.529	2010:269:13:29:04.470
XEF1000		1539	   10000	TE_008EA	1	NaN	2010:269:19:42:42.529	2010:269:16:56:02.529	2010:269:16:56:02.529	2010:269:13:29:04.470
EEF1000_A	1539	   10000	TE_00216	1	14400	2010:271:22:08:57.940	2010:272:00:55:37.940	2010:272:01:04:04.989	2010:272:04:55:37.940
XEF1000		1540	    5000	TE_0021C	1	NaN	2010:272:09:09:24.989	2010:272:07:46:04.989	2010:272:07:46:04.989	2010:272:04:55:37.940
EEF1000_A	1540	   10000	TE_008EA	1	14400	2010:274:13:36:12.763	2010:274:16:22:52.763	2010:274:16:59:28.062	2010:274:20:22:52.763
XEF1000		1541	    5011	TE_00216	1	NaN	2010:275:01:20:59.062	2010:274:23:57:28.062	2010:274:23:57:28.062	2010:274:20:22:52.763
EEF1000		1541	   10000	TE_0021C	1	14400	2010:277:04:48:40.840	2010:277:07:35:20.840	2010:277:07:35:20.840	2010:277:11:50:38.261
