Maneuver Error Summary Generated 27-Sep-2010 21:39:04
SBoxMargin =     0.00 asec, 3-sig init roll uncer =    30.00 asec

 obsid MaxErrYZ Seg start_time            stop_time             ssss    angle    X-axis    Y-axis    Z-axis     initQ1      initQ2      initQ3      initQ4       finalQ1     finalQ2     finalQ3     finalQ4     iru-X    iru-Y    iru-Z    aber-X   aber-Y   aber-Z   del-Y    del-Z    delYZ   iruadjYZ totadjYZ syserr.Y syserr.Z ranerr.Y ranerr.Z
 11433    48.57  0  2010:276:09:58:11.417 2010:276:10:47:04.153 ----  170.452 -0.158639  0.014073  0.987236   0.16435036  0.66779889  0.28777692  0.66649685  -0.56126509  0.14225644 -0.78753473  0.21102999     0.00     0.00     0.00     6.17     1.08   -39.30     0.00     0.00     0.00     0.00    39.32    -1.08    39.30     5.05     9.27
 12143    32.51  0  2010:276:23:48:24.153 2010:277:00:20:48.940 ++++   96.359  0.408094  0.108912 -0.906420  -0.56126509  0.14225644 -0.78753473  0.21102999   0.34224481  0.50665965  0.75649692  0.23211398     0.00     0.00     0.00    -9.78    -4.01    17.31     0.00     0.00     0.00     0.00    17.76     4.01   -17.31    28.51     9.08
 12171    11.05  0  2010:277:03:11:58.940 2010:277:03:26:00.015 ----   18.952 -0.100040 -0.961466  0.256075   0.34224481  0.50665965  0.75649692  0.23211398   0.47486137  0.43611459  0.71012916  0.28289101    -0.00     0.00    -0.00     0.76     6.07    -1.64     0.00     0.00     0.00     0.00     6.29    -6.07     1.64     2.36     9.41
 55997     0.30  0  2010:277:04:44:40.840 2010:277:04:48:40.840 ++++    0.000  1.000000  0.000000  0.000000   0.47486137  0.43611459  0.71012916  0.28289101   0.47486137  0.43611459  0.71012916  0.28289101     0.00     0.00     0.00     0.00     0.00    -0.00     0.00     0.00     0.00     0.00     0.00    -0.00     0.00     0.30     0.30
 55996    31.41  0  2010:277:04:53:10.840 2010:277:05:23:44.982 +-+-   88.061 -0.046795 -0.996017 -0.075902   0.47486137  0.43611459  0.71012916  0.28289101   0.80080547  0.11967145  0.18109106  0.55820728    -0.00     0.00     0.00     1.30    23.90     1.65     0.00     0.00     0.00     0.00    23.96   -23.90    -1.65     3.64    29.76
 55995     9.45  0  2010:277:10:12:22.857 2010:277:10:34:14.796 -++-   48.867  0.923559  0.203158  0.325215   0.80080547  0.11967145  0.18109106  0.55820728   0.94321309  0.11731697  0.26154187  0.16787392     0.00    -0.00     0.00    -6.10    -0.80    -1.77     0.00     0.00     0.00     0.00     1.94     0.80     1.77     5.43     7.68
 55994     7.29  0  2010:277:10:55:25.848 2010:277:11:14:12.078 -++-   35.414  0.910088 -0.008610  0.414325   0.94321309  0.11731697  0.26154187  0.16787392  -0.96046456 -0.06485454 -0.23536249  0.13381415    -0.00    -0.00     0.00    -2.12     0.03    -0.92     0.00     0.00     0.00     0.00     0.92    -0.03     0.92     7.25     1.97
 12246    44.80  0  2010:277:16:13:12.575 2010:277:16:41:22.214 -+-+   77.223  0.086148  0.996146  0.016471  -0.96046456 -0.06485454 -0.23536249  0.13381415  -0.59766696  0.02972498 -0.77610388  0.19893065     0.00    -0.00     0.00   -19.87    -3.15   -15.63     0.00     0.00     0.00     0.00    15.94     3.15    15.63     1.55    29.18
 12308    11.01  0  2010:278:06:17:04.840 2010:278:06:33:00.551 ---+   24.959 -0.404783  0.547023  0.732746  -0.59766696  0.02972498 -0.77610388  0.19893065  -0.50449798  0.21505958 -0.79431670  0.26132766     0.00     0.00     0.00    -4.82     1.11    -0.06     0.00     0.00     0.00     0.00     1.11    -1.11     0.06     9.90     6.10
 11461    20.05  0  2010:278:18:35:35.551 2010:278:18:56:49.148 ++++   45.913  0.447273  0.079534 -0.890854  -0.50449798  0.21505958 -0.79431670  0.26132766  -0.46903808 -0.10772950 -0.87537646  0.04597479     0.00    -0.00     0.00    -1.94    -0.53     1.97     0.00     0.00     0.00     0.00     2.04     0.53    -1.97    19.52     1.95
 11692     6.60  0  2010:278:19:34:39.148 2010:278:19:46:50.023 ++++   13.952  0.325649  0.810590 -0.486720  -0.46903808 -0.10772950 -0.87537646  0.04597479  -0.37119712 -0.16475584 -0.91353007  0.02304397     0.00    -0.00     0.00    -4.02    -2.18     0.87     0.00     0.00     0.00     0.00     2.34     2.18    -0.87     3.77     5.73
 11566    21.71  0  2010:278:21:39:36.148 2010:278:22:05:20.959 +++-   66.361  0.633461  0.003245 -0.773768  -0.37119712 -0.16475584 -0.91353007  0.02304397   0.23129428  0.61174216  0.71788057  0.23858327     0.00    -0.00     0.00   -10.33     0.10    12.98     0.00     0.00     0.00     0.00    12.98    -0.10   -12.98    21.30     8.72
 13121    28.61  0  2010:279:04:16:30.959 2010:279:04:40:41.629 ----   59.300 -0.046603 -0.967041  0.250320   0.23129428  0.61174216  0.71788057  0.23858327   0.61469552  0.37231202  0.55688051  0.41643399    -0.00     0.00     0.00    -1.74    19.52    -3.49     0.00     0.00     0.00     0.00    19.83   -19.52     3.49     5.80    25.12
 12866    28.49  0  2010:279:05:18:31.629 2010:279:05:43:30.991 +-+-   62.952 -0.499217 -0.612869 -0.612514   0.61469552  0.37231202  0.55688051  0.41643399   0.47483140  0.23570236  0.24209858  0.81263019    -0.00     0.00    -0.00     2.24     7.12    10.96     0.00     0.00     0.00     0.00    13.07    -7.12   -10.96    21.37    11.38
