ccd_count clocking datestart             datestop              dec    dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
6         1        2010:276:09:58:11.417 2010:276:09:58:21.668 -52.71 None   6         RETR RETR 11499 NMAN      89.08  XTZ0000005 0.16  0.67  0.29  0.67 95.45  84.88  TE_00660 -468      75624  pcad_mode                                        1        
6         1        2010:276:09:58:21.668 2010:276:10:01:11.417 -52.71 None   6         RETR RETR 11499 NMAN      89.10  XTZ0000005 0.16  0.67  0.29  0.67 95.45  84.88  TE_00660 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:276:10:01:11.417 2010:276:10:03:14.941 -52.71 None   6         RETR RETR 11433 NMAN      89.10  XTZ0000005 0.16  0.67  0.29  0.67 95.45  84.88  TE_00660 -468      75624  obsid                                            1        
6         1        2010:276:10:03:14.941 2010:276:10:08:08.215 -48.44 None   6         RETR RETR 11433 NMAN      88.80  XTZ0000005 0.19  0.66  0.32  0.66 96.15  84.74  TE_00660 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:276:10:08:08.215 2010:276:10:13:01.488 -33.70 None   6         RETR RETR 11433 NMAN      87.67  XTZ0000005 0.25  0.62  0.41  0.61 98.39  83.82  TE_00660 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:276:10:13:01.488 2010:276:10:17:54.761 -12.33 None   6         RETR RETR 11433 NMAN      85.53  XTZ0000005 0.35  0.56  0.54  0.53 101.67 81.62  TE_00660 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:276:10:17:54.761 2010:276:10:22:48.034 9.00   None   6         RETR RETR 11433 NMAN      82.72  XTZ0000005 0.43  0.46  0.65  0.43 105.76 78.21  TE_00660 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2010:276:10:22:48.034 2010:276:10:27:38.153 29.96  None   6         RETR RETR 11433 NMAN      79.64  XTZ0000005 0.49  0.36  0.73  0.31 111.84 72.61  TE_00660 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2010:276:10:27:38.153 2010:276:10:27:41.308 29.96  None   6         RETR RETR 11433 NMAN      79.64  AA00000000 0.49  0.36  0.73  0.31 111.84 72.61  TE_00660 -468      75624  clocking,power_cmd                               1        
6         0        2010:276:10:27:41.308 2010:276:10:27:42.153 49.92  None   6         RETR RETR 11433 NMAN      76.72  AA00000000 0.54  0.24  0.79  0.18 123.16 61.69  TE_00660 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         0        2010:276:10:27:42.153 2010:276:10:27:46.153 49.92  None   6         RETR RETR 11433 NMAN      76.72  AA00000000 0.54  0.24  0.79  0.18 123.16 61.69  TE_00660 -468      75624  clocking,power_cmd                               1        
0         0        2010:276:10:27:46.153 2010:276:10:28:10.153 49.92  None   0         RETR RETR 11433 NMAN      76.72  WSPOW00000 0.54  0.24  0.79  0.18 123.16 61.69  TE_00660 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
5         0        2010:276:10:28:10.153 2010:276:10:29:13.153 49.92  None   5         RETR RETR 11433 NMAN      76.72  WSPOW1CC3E 0.54  0.24  0.79  0.18 123.16 61.69  TE_00660 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
5         0        2010:276:10:29:13.153 2010:276:10:29:17.153 49.92  None   5         RETR RETR 11433 NMAN      76.72  WSPOW1CC3E 0.54  0.24  0.79  0.18 123.16 61.69  TE_0074C -468      75624  si_mode                                          1        
