datestart             datestop              dir                 
2010:276:09:55:11.417 2010:277:17:56:01.840 /2010/OCT0410/oflsa/
2010:276:09:55:11.417 2010:277:17:56:01.840 /2010/OCT0410/oflsa/
2010:277:20:10:00.000 2010:279:05:48:00.991 /2010/OCT0410/oflsa/
2010:277:20:10:00.000 2010:278:20:00:00.000 /2010/OCT0410/oflsa/
2010:279:11:00:00.000 2010:280:12:30:02.056 /2010/OCT0410/oflsa/
2010:279:11:00:00.000 2010:278:20:00:00.000 /2010/OCT0410/oflsa/
2010:280:18:35:00.000 2010:281:21:00:02.056 /2010/OCT0410/oflsa/
2010:280:18:35:00.000 2010:278:20:00:00.000 /2010/OCT0410/oflsa/
2010:282:03:45:00.000 2010:283:11:39:58.410 /2010/OCT0410/oflsa/
2010:282:03:45:00.000 2010:278:20:00:00.000 /2010/OCT0410/oflsa/
2010:283:12:22:25.053 2010:283:20:40:02.056 /2010/OCT0410/oflsa/
2010:283:12:22:25.053 2010:278:20:00:00.000 /2010/OCT0410/oflsa/
