ccd_count clocking datestart             datestop              dec    dither fep_count hetg letg obsid pcad_mode pitch  power_cmd  q1    q2    q3    q4   ra     roll   si_mode  simfa_pos simpos trans_keys                                       vid_board
5         1        2011:316:02:40:43.720 2011:316:08:15:23.469 41.29  ENAB   6         RETR RETR 13227 NPNT      140.99 XTZ0000005 -0.78 -0.26 -0.25 0.52 10.68  243.34 TE_00452 -716      -50504 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
5         0        2011:316:08:15:23.469 2011:316:08:18:23.469 41.29  ENAB   6         RETR RETR 13227 NPNT      140.99 AA00000000 -0.78 -0.26 -0.25 0.52 10.68  243.34 TE_00452 -716      -50504 clocking,power_cmd                               1        
5         0        2011:316:08:18:23.469 2011:316:08:18:33.720 41.29  ENAB   6         RETR RETR 14057 NMAN      140.99 AA00000000 -0.78 -0.26 -0.25 0.52 10.68  243.34 TE_00452 -716      75624  obsid,pcad_mode,simpos                           1        
5         0        2011:316:08:18:33.720 2011:316:08:22:52.356 41.29  ENAB   6         RETR RETR 14057 NMAN      139.13 AA00000000 -0.78 -0.26 -0.25 0.52 10.68  243.34 TE_00452 -716      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2011:316:08:22:52.356 2011:316:08:23:13.559 41.29  ENAB   6         RETR RETR 14057 NMAN      139.13 AA00000000 -0.78 -0.26 -0.25 0.52 10.68  243.34 TE_00452 -418      75624  simfa_pos                                        1        
5         0        2011:316:08:23:13.559 2011:316:08:24:14.716 41.04  ENAB   6         RETR RETR 14057 NMAN      131.16 AA00000000 -0.77 -0.23 -0.27 0.53 5.49   246.97 TE_00452 -418      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2011:316:08:24:14.716 2011:316:08:27:53.399 41.04  ENAB   6         RETR RETR 14057 NMAN      131.16 AA00000000 -0.77 -0.23 -0.27 0.53 5.49   246.97 TE_00452 -468      75624  simfa_pos                                        1        
5         0        2011:316:08:27:53.399 2011:316:08:32:33.238 38.31  ENAB   6         RETR RETR 14057 NMAN      115.27 AA00000000 -0.75 -0.13 -0.31 0.57 348.12 258.82 TE_00452 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2011:316:08:32:33.238 2011:316:08:37:13.077 29.67  ENAB   6         RETR RETR 14057 NMAN      95.74  AA00000000 -0.69 0.02  -0.38 0.62 325.43 272.75 TE_00452 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2011:316:08:37:13.077 2011:316:08:41:52.917 17.35  ENAB   6         RETR RETR 14057 NMAN      76.25  AA00000000 -0.61 0.18  -0.43 0.64 306.87 281.36 TE_00452 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2011:316:08:41:52.917 2011:316:08:44:41.346 3.49   ENAB   6         RETR RETR 14057 NMAN      60.45  AA00000000 -0.51 0.32  -0.46 0.65 291.29 285.31 TE_00452 -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
5         0        2011:316:08:44:41.346 2011:316:08:44:45.346 3.49   ENAB   6         RETR RETR 14057 NMAN      60.45  AA00000000 -0.51 0.32  -0.46 0.65 291.29 285.31 TE_00452 -468      75624  clocking,power_cmd                               1        
5         0        2011:316:08:44:45.346 2011:316:08:44:49.346 3.49   ENAB   6         RETR RETR 14057 NMAN      60.45  AA00000000 -0.51 0.32  -0.46 0.65 291.29 285.31 TE_00452 -468      75624  clocking,power_cmd                               1        
0         0        2011:316:08:44:49.346 2011:316:08:45:13.346 3.49   ENAB   0         RETR RETR 14057 NMAN      60.45  WSPOW00000 -0.51 0.32  -0.46 0.65 291.29 285.31 TE_00452 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
1         0        2011:316:08:45:13.346 2011:316:08:46:16.346 3.49   ENAB   1         RETR RETR 14057 NMAN      60.45  WSPOW08002 -0.51 0.32  -0.46 0.65 291.29 285.31 TE_00452 -468      75624  ccd_count,clocking,fep_count,power_cmd,vid_board 1        
1         0        2011:316:08:46:16.346 2011:316:08:46:20.346 3.49   ENAB   1         RETR RETR 14057 NMAN      60.45  WSPOW08002 -0.51 0.32  -0.46 0.65 291.29 285.31 TE_0091A -468      75624  si_mode                                          1        
1         1        2011:316:08:46:20.346 2011:316:08:46:32.756 3.49   ENAB   1         RETR RETR 14057 NMAN      60.45  XTZ0000005 -0.51 0.32  -0.46 0.65 291.29 285.31 TE_0091A -468      75624  clocking,power_cmd                               1        
1         1        2011:316:08:46:32.756 2011:316:08:49:02.346 -6.01  ENAB   1         RETR RETR 14057 NMAN      52.54  XTZ0000005 -0.44 0.41  -0.48 0.64 281.53 285.81 TE_0091A -468      75624  dec,pitch,q1,q2,q3,q4,ra,roll                    1        
1         1        2011:316:08:49:02.346 2011:316:08:51:12.595 -6.01  ENAB   1         RETR RETR 14057 NMAN      52.54  XTZ0000005 -0.44 0.41  -0.48 0.64 281.53 285.81 TE_0091A -468      75624  dither                                           1        
1         1        2011:316:08:51:12.595 2011:316:20:25:57.292 -8.75  ENAB   1         RETR RETR 14057 NPNT      50.80  XTZ0000005 -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0091A -468      75624  dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
1         0        2011:316:20:25:57.292 2011:316:20:28:57.292 -8.75  ENAB   1         RETR RETR 14057 NMAN      50.80  AA00000000 -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0091A -468      -99616 clocking,pcad_mode,power_cmd,simpos              1        
1         0        2011:316:20:28:57.292 2011:316:20:29:10.837 -8.75  ENAB   1         RETR RETR 55063 NMAN      50.80  AA00000000 -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0091A -468      -99616 obsid                                            1        
1         0        2011:316:20:29:10.837 2011:316:20:31:33.726 -8.75  ENAB   1         RETR RETR 55063 NMAN      50.34  AA00000000 -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0091A -468      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
1         0        2011:316:20:31:33.726 2011:316:20:33:00.586 -8.75  ENAB   1         RETR RETR 55063 NMAN      50.34  AA00000000 -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0091A -991      -99616 simfa_pos                                        1        
1         0        2011:316:20:33:00.586 2011:316:20:33:04.586 -8.75  ENAB   1         RETR RETR 55063 NMAN      50.34  AA00000000 -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0091A -991      -99616 clocking,power_cmd                               1        
1         0        2011:316:20:33:04.586 2011:316:20:33:08.586 -8.75  ENAB   1         RETR RETR 55063 NMAN      50.34  AA00000000 -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0091A -991      -99616 clocking,power_cmd                               1        
0         0        2011:316:20:33:08.586 2011:316:20:33:10.837 -8.75  ENAB   0         RETR RETR 55063 NMAN      50.34  WSPOW00000 -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0091A -991      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
0         0        2011:316:20:33:10.837 2011:316:20:33:32.586 -8.75  ENAB   0         RETR RETR 55063 NPNT      50.34  WSPOW00000 -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0091A -991      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2011:316:20:33:32.586 2011:316:20:34:35.586 -8.75  ENAB   6         RETR RETR 55063 NPNT      50.34  WSPOW3F03F -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0091A -991      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2011:316:20:34:35.586 2011:316:20:34:39.586 -8.75  ENAB   6         RETR RETR 55063 NPNT      50.34  WSPOW3F03F -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0021C -991      -99616 si_mode                                          1        
6         1        2011:316:20:34:39.586 2011:316:20:37:30.586 -8.75  ENAB   6         RETR RETR 55063 NPNT      50.34  XTZ0000005 -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0021C -991      -99616 clocking,power_cmd                               1        
6         1        2011:316:20:37:30.586 2011:316:20:37:40.837 -8.75  ENAB   6         RETR RETR 55062 NMAN      50.34  XTZ0000005 -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0021C -991      -99616 obsid,pcad_mode                                  1        
6         1        2011:316:20:37:40.837 2011:316:20:42:27.622 -8.75  ENAB   6         RETR RETR 55062 NMAN      50.85  XTZ0000005 -0.42 0.44  -0.48 0.63 278.70 285.65 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2011:316:20:42:27.622 2011:316:20:47:14.408 -4.94  ENAB   6         RETR RETR 55062 NMAN      53.43  XTZ0000005 -0.43 0.41  -0.51 0.63 278.58 287.25 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2011:316:20:47:14.408 2011:316:20:52:01.193 8.20   ENAB   6         RETR RETR 55062 NMAN      59.10  XTZ0000005 -0.45 0.32  -0.58 0.60 277.34 292.92 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2011:316:20:52:01.193 2011:316:20:56:47.978 27.28  ENAB   6         RETR RETR 55062 NMAN      66.52  XTZ0000005 -0.48 0.17  -0.67 0.54 272.67 302.76 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2011:316:20:56:47.978 2011:316:21:01:34.764 45.19  ENAB   6         RETR RETR 55062 NMAN      73.82  XTZ0000005 -0.49 0.02  -0.74 0.46 262.16 317.56 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2011:316:21:01:34.764 2011:316:21:06:21.549 58.97  ENAB   6         RETR RETR 55062 NMAN      79.31  XTZ0000005 -0.48 -0.14 -0.78 0.37 239.08 344.39 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2011:316:21:06:21.549 2011:316:21:11:08.334 62.69  ENAB   6         RETR RETR 55062 NMAN      81.81  XTZ0000005 -0.47 -0.24 -0.80 0.30 212.87 13.01  TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    1        
6         1        2011:316:21:11:08.334 2011:316:21:53:20.586 62.50  ENAB   6         RETR RETR 55062 NPNT      82.32  XTZ0000005 -0.46 -0.27 -0.80 0.28 204.60 21.98  TE_0021C -991      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          1        
6         0        2011:316:21:53:20.586 2011:316:21:56:20.586 62.50  ENAB   6         RETR RETR 55062 NPNT      82.32  AA00000000 -0.46 -0.27 -0.80 0.28 204.60 21.98  TE_0021C -991      -99616 clocking,power_cmd                               1        
6         0        2011:316:21:56:20.586 2011:316:21:56:29.586 62.50  ENAB   6         RETR RETR 55062 NPNT      82.32  AA00000000 -0.46 -0.27 -0.80 0.28 204.60 21.98  TE_0021C -991      -99616 clocking,power_cmd                               1        
6         0        2011:316:21:56:29.586 2011:317:00:06:42.984 62.50  ENAB   6         RETR RETR 55062 NPNT      82.32  WSVIDALLDN -0.46 -0.27 -0.80 0.28 204.60 21.98  TE_0021C -991      -99616 power_cmd,vid_board                              0        
6         0        2011:317:00:06:42.984 2011:317:00:06:53.235 62.50  ENAB   6         RETR RETR 55061 NMAN      82.32  WSVIDALLDN -0.46 -0.27 -0.80 0.28 204.60 21.98  TE_0021C -991      -99616 obsid,pcad_mode                                  0        
6         0        2011:317:00:06:53.235 2011:317:00:12:12.489 62.50  ENAB   6         RETR RETR 55061 NMAN      80.82  WSVIDALLDN -0.46 -0.27 -0.80 0.28 204.60 21.98  TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2011:317:00:12:12.489 2011:317:00:17:31.743 60.74  ENAB   6         RETR RETR 55061 NMAN      73.86  WSVIDALLDN -0.45 -0.23 -0.80 0.30 214.48 11.72  TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2011:317:00:17:31.743 2011:317:00:22:50.997 50.02  ENAB   6         RETR RETR 55061 NMAN      63.00  WSVIDALLDN -0.42 -0.11 -0.81 0.39 238.13 346.74 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2011:317:00:22:50.997 2011:317:00:28:10.251 35.58  ENAB   6         RETR RETR 55061 NMAN      56.02  WSVIDALLDN -0.37 0.01  -0.80 0.48 250.56 332.88 TE_0021C -991      -99616 dec,pitch,q1,q2,q3,q4,ra,roll                    0        
6         0        2011:317:00:28:10.251 2011:317:04:07:40.586 31.00  ENAB   6         RETR RETR 55061 NPNT      54.48  WSVIDALLDN -0.36 0.05  -0.79 0.50 253.00 329.97 TE_0021C -991      -99616 dec,pcad_mode,pitch,q1,q2,q3,q4,ra,roll          0        
6         0        2011:317:04:07:40.586 2011:317:04:07:44.586 31.00  ENAB   6         RETR RETR 55060 NPNT      54.48  AA00000000 -0.36 0.05  -0.79 0.50 253.00 329.97 TE_0021C -991      -99616 clocking,obsid,power_cmd                         0        
6         0        2011:317:04:07:44.586 2011:317:04:07:48.586 31.00  ENAB   6         RETR RETR 55060 NPNT      54.48  AA00000000 -0.36 0.05  -0.79 0.50 253.00 329.97 TE_0021C -991      -99616 clocking,power_cmd                               0        
0         0        2011:317:04:07:48.586 2011:317:04:08:12.586 31.00  ENAB   0         RETR RETR 55060 NPNT      54.48  WSPOW00000 -0.36 0.05  -0.79 0.50 253.00 329.97 TE_0021C -991      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2011:317:04:08:12.586 2011:317:04:09:15.586 31.00  ENAB   6         RETR RETR 55060 NPNT      54.48  WSPOW0AF3F -0.36 0.05  -0.79 0.50 253.00 329.97 TE_0021C -991      -99616 ccd_count,clocking,fep_count,power_cmd,vid_board 1        
6         0        2011:317:04:09:15.586 2011:317:04:09:19.586 31.00  ENAB   6         RETR RETR 55060 NPNT      54.48  WSPOW0AF3F -0.36 0.05  -0.79 0.50 253.00 329.97 TE_008EA -991      -99616 si_mode                                          1        
6         1        2011:317:04:09:19.586 2011:317:05:44:54.220 31.00  ENAB   6         RETR RETR 55060 NPNT      54.48  XTZ0000005 -0.36 0.05  -0.79 0.50 253.00 329.97 TE_008EA -991      -99616 clocking,power_cmd                               1        
